category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Automotive Parts,Turners,Real price + condition,Oil Treatment,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/28063271,15.0,,Average,Turners Hamilton Trucks & Machinery,,3,"Untested product, no verification; Average condition, bulk box format; Generic oil treatment, commodity market",Untested bulk oil treatment at $15 for 28 cans (~$0.54/can) is cheap but unverifiable; condition unclear and resale difficult without testing proof.,40,62,18,3,20,low,Untested bulk consumables hard to move; buyer skepticism on unproven product.,https://www.trademe.co.nz/a/search?search_string=Oil%20Treatment,https://www.facebook.com/marketplace/search/?query=Oil%20Treatment,https://www.ebay.com.au/sch/i.html?_nkw=Oil%20Treatment&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
Automotive Parts,Turners,Real price + condition,Radiator Stop Leak,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/28126044,4.0,,Average,Turners Hamilton Trucks & Machinery,,3,"Untested product, unknown quality; Bulk lot of 28 bottles; Low resale demand for automotive chemicals",Untested radiator sealant at $4 is cheap but unsaleable risk; bulk automotive chemicals have poor secondary market demand in NZ.,280,99,40,36,900,low,Bulk automotive chemicals attract few buyers; untested condition is a major barrier.,https://www.trademe.co.nz/a/search?search_string=Radiator%20Stop%20Leak,https://www.facebook.com/marketplace/search/?query=Radiator%20Stop%20Leak,https://www.ebay.com.au/sch/i.html?_nkw=Radiator%20Stop%20Leak&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,,
Cars,Turners,Real price + condition,2020 Nissan Serena,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/27999104,,,,Timaru,,7,Newer 2020 model year; Lower mileage at 75k km; WOF/Rego valid until 2026–2027,"Newer Serena with lower mileage and current documentation appeals to practical buyers, though missing price data prevents stronger scoring.",38000,,24000,,,high,Nissan Serena is popular family wagon in NZ market.,https://www.trademe.co.nz/a/search?search_string=2020%20Nissan%20Serena,https://www.facebook.com/marketplace/search/?query=2020%20Nissan%20Serena,https://www.ebay.com.au/sch/i.html?_nkw=2020%20Nissan%20Serena&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2015 Nissan Serena 2WD,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/serena/28056179,,,,Wellington - Porirua,,6,Fresh import with recent service; 119k km is moderate mileage; No price/condition data limits confidence,"2015 Serena with reasonable mileage and recent maintenance, but lack of auction price and full condition details makes valuation uncertain.",32000,,18000,,,high,Nissan Serena is popular family wagon in NZ market.,https://www.trademe.co.nz/a/search?search_string=2015%20Nissan%20Serena%202WD,https://www.facebook.com/marketplace/search/?query=2015%20Nissan%20Serena%202WD,https://www.ebay.com.au/sch/i.html?_nkw=2015%20Nissan%20Serena%202WD&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,Brateck Projector Ceiling Mount,https://www.turners.co.nz/General-Goods/Search/electronics/projectors/25310468,1.0,,As New,Napier,,9,Auction price $1 NZD is absurdly low; As New condition despite untested status; Standard popular ceiling mount accessory,Starting bid of $1 for an untested-but-as-new projector mount represents exceptional value; typical retail is $40–80 NZD.,60,98,35,34,3400,high,Projector mounts are common consumables with steady secondhand demand.,https://www.trademe.co.nz/a/search?search_string=Brateck%20Projector%20Ceiling%20Mount,https://www.facebook.com/marketplace/search/?query=Brateck%20Projector%20Ceiling%20Mount,https://www.ebay.com.au/sch/i.html?_nkw=Brateck%20Projector%20Ceiling%20Mount&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes 23 Aug 26
Electronics & Tech,Turners,Real price + condition,"Acer 24"" Monitor",https://www.turners.co.nz/General-Goods/Search/electronics/television/25310622,1.0,,Unknown,Napier,,2,"Untested, condition completely unknown; No cables included; Minimal information provided","At $1 it's nominally cheap, but untested electronics with unknown condition and missing cables present significant risk; likely non-functional or requiring substantial investment to make usable.",250,100,,,,low,Buyer cannot verify functionality; risky secondhand purchase without testing or cables.,https://www.trademe.co.nz/a/search?search_string=Acer%2024%22%20Monitor,https://www.facebook.com/marketplace/search/?query=Acer%2024%22%20Monitor,https://www.ebay.com.au/sch/i.html?_nkw=Acer%2024%22%20Monitor&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes 24 Aug 26
,,,,,,,,,,,,,,,,,,,,,,,
House & Garden,Turners,Real price + condition,Wooden Table,https://www.turners.co.nz/General-Goods/Search/house--garden/lounge-furniture/25309155,1.0,,Average,Napier,,9,"Extremely low opening bid ($1); Functional table at working size; Standard disassembly, not damage","Starting bid of $1 on a usable wooden table is exceptional value; typical secondhand tables sell for $50–150+, making this a steal even if condition is only average.",200,100,85,84,8400,high,Standard dining/work tables have steady demand in NZ secondhand market.,https://www.trademe.co.nz/a/search?search_string=Wooden%20Table,https://www.facebook.com/marketplace/search/?query=Wooden%20Table,https://www.ebay.com.au/sch/i.html?_nkw=Wooden%20Table&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes 23 Aug 26
