category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Automotive Parts,Turners,Real price + condition,Scania Cab Air Suspension Bag,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/24903587,1.0,,Average,Turners Wellington Trucks & Machinery,,8,"Air suspension bags are high-wear replacements; Opening bid $1 is extremely attractive; OEM part, Scania branded, traceable number",Air suspension bags are consumable parts with reliable resale demand; $1 starting price on a genuine OEM Scania component is excellent value even in average condition.,600,100,180,179,17900,high,"Air suspension repairs are common fleet maintenance costs, steady buyer pool",https://www.trademe.co.nz/a/search?search_string=Scania%20Cab%20Air%20Suspension%20Bag,https://www.facebook.com/marketplace/search/?query=Scania%20Cab%20Air%20Suspension%20Bag,https://www.ebay.com.au/sch/i.html?_nkw=Scania%20Cab%20Air%20Suspension%20Bag&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 21 Sep 26
Automotive Parts,Turners,Real price + condition,Scania Cab Suspension Shock Absorber Rear,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/24903594,1.0,,Average,Turners Wellington Trucks & Machinery,,8,"Scania heavy truck parts always in demand; Current bid price extremely low at $1; OEM part number verified, traceable",Heavy truck suspension components command solid resale value; $1 opening bid on a genuine Scania shock absorber is exceptional value regardless of average condition.,800,100,250,249,24900,high,Scania truck parts have steady commercial buyer demand in NZ,https://www.trademe.co.nz/a/search?search_string=Scania%20Cab%20Suspension%20Shock%20Absorber%20Rear,https://www.facebook.com/marketplace/search/?query=Scania%20Cab%20Suspension%20Shock%20Absorber%20Rear,https://www.ebay.com.au/sch/i.html?_nkw=Scania%20Cab%20Suspension%20Shock%20Absorber%20Rear&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 21 Sep 26
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,Fujifilm Printer - Model Apeos C325 z and Some Toner Cartridges,https://www.turners.co.nz/General-Goods/Search/computer/printers/21216520,1.0,,Very Tidy,Christchurch,,10,Newest manufacturing date (2024); Minimal cost ($1); Most recent production unit,"Best value of the four: latest 2024 manufacturing ensures maximum remaining service life and warranty eligibility, plus toner included, all for $1 pickup cost.",10000,100,4000,3999,399900,medium,Newest unit appeals more to buyers; same logistics/pool constraints as peers.,https://www.trademe.co.nz/a/search?search_string=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges,https://www.facebook.com/marketplace/search/?query=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges,https://www.ebay.com.au/sch/i.html?_nkw=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 20 Sep 26
Electronics & Tech,Turners,Real price + condition,Fujifilm C325Z Multifunction Desktop Printer and Some Toner Cartridges,https://www.turners.co.nz/General-Goods/Search/computer/printers/28141000,1.0,,Very Tidy,Christchurch,,9,Extremely low auction price ($1); Newer manufacturing date implied; Includes toner cartridges,"Industrial multifunction printer at effectively free pickup cost; Apeos C325z typically retails $8,000–12,000 NZD new, making this exceptional value despite limited testing.",10000,100,3500,3499,349900,medium,Bulky commercial equipment needs transport; strong demand but limited local buyer pool.,https://www.trademe.co.nz/a/search?search_string=Fujifilm%20C325Z%20Multifunction%20Desktop%20Printer%20and%20Some%20Toner%20Cartridges,https://www.facebook.com/marketplace/search/?query=Fujifilm%20C325Z%20Multifunction%20Desktop%20Printer%20and%20Some%20Toner%20Cartridges,https://www.ebay.com.au/sch/i.html?_nkw=Fujifilm%20C325Z%20Multifunction%20Desktop%20Printer%20and%20Some%20Toner%20Cartridges&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 20 Sep 26
Electronics & Tech,Turners,Real price + condition,Fujifilm Printer - Model Apeos C325 z and Some Toner Cartridges,https://www.turners.co.nz/General-Goods/Search/computer/printers/21216531,1.0,,Very Tidy,Christchurch,,9,Minimal cost ($1); 2022 manufacturing still recent; Toner cartridges included,Identical value proposition to item 1; 2022 manufacturing date is slightly older but negligible given the negligible purchase price and industrial equipment longevity.,10000,100,3500,3499,349900,medium,Same commercial printer model; bulk and logistics limit buyer pool.,https://www.trademe.co.nz/a/search?search_string=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges,https://www.facebook.com/marketplace/search/?query=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges,https://www.ebay.com.au/sch/i.html?_nkw=Fujifilm%20Printer%20-%20Model%20Apeos%20C325%20z%20and%20Some%20Toner%20Cartridges&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 20 Sep 26
,,,,,,,,,,,,,,,,,,,,,,,
Health & Beauty,Turners,Real price + condition,Bradfield Fragrance Sachets w/ Retail Countertop Display - Rose Garden,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/25981050,28.0,,New,Christchurch,,6,"Bulk retail display at wholesale price; New condition, made in NZ; Limited consumer resale appeal","14-piece retail display at $28 is strong wholesale value, but reseller margin is tight and consumer demand for unsplit bulk displays is niche.",60,53,35,7,25,low,Bulk retail displays suit small businesses; few individual consumers want unopened 14-packs.,https://www.trademe.co.nz/a/search?search_string=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Rose%20Garden,https://www.facebook.com/marketplace/search/?query=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Rose%20Garden,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20Fragrance%20Sachets%20w/%20Retail%20Countertop%20Display%20-%20Rose%20Garden&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 20 Sep 26
Health & Beauty,Turners,Real price + condition,Bradfield - Infused Multi-Use Fragrance Sachets (10pce) - Gorgeous,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27093504,20.0,,New,Christchurch,,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2810pce%29%20-%20Gorgeous,https://www.facebook.com/marketplace/search/?query=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2810pce%29%20-%20Gorgeous,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2810pce%29%20-%20Gorgeous&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 20 Sep 26
Health & Beauty,Turners,Real price + condition,Bradfield - Infused Multi-Use Fragrance Sachets (15pce) - Gorgeous,https://www.turners.co.nz/General-Goods/Search/health--beauty/fragrances/27926687,30.0,,New,Christchurch,,,,,,,,,,,,https://www.trademe.co.nz/a/search?search_string=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2815pce%29%20-%20Gorgeous,https://www.facebook.com/marketplace/search/?query=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2815pce%29%20-%20Gorgeous,https://www.ebay.com.au/sch/i.html?_nkw=Bradfield%20-%20Infused%20Multi-Use%20Fragrance%20Sachets%20%2815pce%29%20-%20Gorgeous&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 20 Sep 26
