category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Antiques & Collectables,Thorntons,Listing language only (no price data),Fantastic Furnishings & Collectables 08.09.26 TU133205,https://www.thorntons.net.nz/auctions/detail/bw133205,,,,,,5,,"No description provided; title alone offers no clear signals of condition, lot count, or auction type.",,,,,,medium,Furnishings and collectables are broadly resellable if in good condition.,https://www.trademe.co.nz/a/search?search_string=collectable,https://www.facebook.com/marketplace/search/?query=collectable,https://www.ebay.com.au/sch/i.html?_nkw=collectable&LH_Sold=1&LH_Complete=1&_sop=13,Caution: no description available
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,Philips Monitor,https://www.turners.co.nz/General-Goods/Search/computer/other/25314806,1.0,,Average,Turners Auckland Trucks,,9,Starting bid only $1.00; Powers on successfully; Common resale item,Exceptional value at $1 opening bid despite average condition and missing power cable—a $5–10 replacement cost for a likely $80–150 secondhand monitor.,250,100,90,89,8900,high,Monitors are consistently in-demand on NZ secondhand market.,https://www.trademe.co.nz/a/search?search_string=Philips%20Monitor,https://www.facebook.com/marketplace/search/?query=Philips%20Monitor,https://www.ebay.com.au/sch/i.html?_nkw=Philips%20Monitor&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes 1 Sep 26
Electronics & Tech,Turners,Real price + condition,HP Elite Mini 600 G9 Desktop PC,https://www.turners.co.nz/General-Goods/Search/computer/other/25314777,33.0,,Average,Turners Auckland Trucks,,8,"Exceptional auction price, lowest by far; Same specs/condition as higher-priced units; Possible typo risk, verify before bidding",Significantly underpriced compared to identical units ($90–$150); appears to be a pricing error or urgent clearance.,800,96,120,87,264,medium,"Same spec as others; missing cable slightly reduces resale, but price undercut is substantial.",https://www.trademe.co.nz/a/search?search_string=HP%20Elite%20Mini%20600%20G9%20Desktop%20PC,https://www.facebook.com/marketplace/search/?query=HP%20Elite%20Mini%20600%20G9%20Desktop%20PC,https://www.ebay.com.au/sch/i.html?_nkw=HP%20Elite%20Mini%20600%20G9%20Desktop%20PC&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 1 Sep 26
,,,,,,,,,,,,,,,,,,,,,,,
House & Garden,Turners,Real price + condition,Coleman 5Gallon Beverage Cooler,https://www.turners.co.nz/General-Goods/Search/house--garden/assorted-household-items/21217230,1.0,,Tidy,Christchurch,,9,Starting bid only $1.00; Functionally sound cooler; Cosmetic wear acceptable,Heavily underpriced 5-gallon cooler at $1 opening bid despite being fully functional; scratches don't affect utility and typical secondhand value is $15–25.,45,98,20,19,1900,high,Coleman coolers in working condition sell consistently on secondhand market.,https://www.trademe.co.nz/a/search?search_string=Coleman%205Gallon%20Beverage%20Cooler,https://www.facebook.com/marketplace/search/?query=Coleman%205Gallon%20Beverage%20Cooler,https://www.ebay.com.au/sch/i.html?_nkw=Coleman%205Gallon%20Beverage%20Cooler&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
House & Garden,Turners,Real price + condition,Nouveau freestanding bath -left corner,https://www.turners.co.nz/General-Goods/Search/house--garden/bathroom/27582466,5.0,,As New,Christchurch,,9,As-new condition in original packaging; Freestanding baths typically $1200–$2000+ retail; Pickup only (minor logistics friction),"Exceptional value: essentially brand-new premium freestanding bath at auction opening bid ($5) versus typical retail of $1500+, offset only by pickup logistics.",1800,100,1400,1395,27900,high,"Freestanding baths are popular, in-demand bathroom fixtures.",https://www.trademe.co.nz/a/search?search_string=Nouveau%20freestanding%20bath%20-left%20corner,https://www.facebook.com/marketplace/search/?query=Nouveau%20freestanding%20bath%20-left%20corner,https://www.ebay.com.au/sch/i.html?_nkw=Nouveau%20freestanding%20bath%20-left%20corner&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes unknown
House & Garden,Thorntons,Listing language only (no price data),Hospitality & Household Auction 24.09.26 TH133209,https://www.thorntons.net.nz/auctions/detail/bw133209,,,,,,5,,"No meaningful details provided beyond date and lot number; cannot assess lot count, condition, or stock type.",,,,,,medium,"Hospitality/household items are broadly resellable, but specifics unknown.",https://www.trademe.co.nz/a/search?search_string=house,https://www.facebook.com/marketplace/search/?query=house,https://www.ebay.com.au/sch/i.html?_nkw=house&LH_Sold=1&LH_Complete=1&_sop=13,Caution: minimal description; no lot details visible
,,,,,,,,,,,,,,,,,,,,,,,
Motorbikes,Turners,Real price + condition,2020 Yamaha AG125,https://www.turners.co.nz/motorcycles-scooters/Used-Motorbikes-for-Sale/yamaha/ag125/28358193,850.0,,,Turners Palmerston North Trucks & Machinery,,7,Well-used but functional ag bike; All electrics working correctly; Fair price for condition level,"Decent value for a runner-condition farm bike at ~60% of typical retail, though extensive surface rust suggests cosmetic neglect rather than mechanical issues.",1400,39,950,100,12,high,"Farm bikes steady demand; running condition essential, cosmetics less critical.",https://www.trademe.co.nz/a/search?search_string=2020%20Yamaha%20AG125,https://www.facebook.com/marketplace/search/?query=2020%20Yamaha%20AG125,https://www.ebay.com.au/sch/i.html?_nkw=2020%20Yamaha%20AG125&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only
