category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Automotive Parts,Turners,Real price + condition,Inno roof box with racking,https://www.turners.co.nz/General-Goods/Search/automotive-goods/car-parts/21366913,1.0,,Very Tidy,Christchurch,,8,Includes key and racking—fully functional; Two-piece bundle significantly boosts value; Comparable Inno box $600–900 NZD new,"At $1 starting bid with key, racking included, and good condition, this is exceptional value; functionally complete and immediately usable.",750,100,450,449,44900,high,Complete roof box kits with racking are in steady NZ secondhand demand.,https://www.trademe.co.nz/a/search?search_string=Inno%20roof%20box%20with%20racking,https://www.facebook.com/marketplace/search/?query=Inno%20roof%20box%20with%20racking,https://www.ebay.com.au/sch/i.html?_nkw=Inno%20roof%20box%20with%20racking&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 13 Sep 26
Automotive Parts,Turners,Real price + condition,Light Truck Traffic Management Tray,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/27550124,58.0,,Average,Dunedin Trucks & Machinery,,3,"Surface rust and bent bearing present; Untested, condition unclear; Limited utility without full assessment",Surface rust and mechanical damage (bent bearing) significantly reduce value and usability; untested status adds risk to an already compromised industrial item.,250,77,25,-33,-57,low,Niche industrial item with visible damage; small buyer pool.,https://www.trademe.co.nz/a/search?search_string=Light%20Truck%20Traffic%20Management%20Tray,https://www.facebook.com/marketplace/search/?query=Light%20Truck%20Traffic%20Management%20Tray,https://www.ebay.com.au/sch/i.html?_nkw=Light%20Truck%20Traffic%20Management%20Tray&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 14 Sep 26
Automotive Parts,Turners,Real price + condition,Thule roof box,https://www.turners.co.nz/General-Goods/Search/automotive-goods/car-parts/21366909,1.0,,Very Tidy,Christchurch,,2,"Locked box, no key included; Renders item non-functional without locksmith; Thule Motion800 normally $800–1200 NZD","Technically $1 is dirt cheap, but a locked roof box with no key is unusable without expensive professional intervention, severely limiting value.",1000,100,150,149,14900,low,Buyers avoid locked boxes without keys; risky liability and repair costs.,https://www.trademe.co.nz/a/search?search_string=Thule%20roof%20box,https://www.facebook.com/marketplace/search/?query=Thule%20roof%20box,https://www.ebay.com.au/sch/i.html?_nkw=Thule%20roof%20box&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 13 Sep 26
,,,,,,,,,,,,,,,,,,,,,,,
Cars,Turners,Real price + condition,2023 Nissan Note,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/note/28286225,,,,Invercargill,,7,"Lower mileage (66,621 km) for 2023 model; Fresh import with compliance clearance; No pricing visible to assess value",2023 Note with modest mileage and thorough dealer prep is stronger value proposition than older model; actual price comparison impossible without figures.,32000,,22000,,,high,"Newer, low-mileage Japanese imports move quickly in NZ market.",https://www.trademe.co.nz/a/search?search_string=2023%20Nissan%20Note,https://www.facebook.com/marketplace/search/?query=2023%20Nissan%20Note,https://www.ebay.com.au/sch/i.html?_nkw=2023%20Nissan%20Note&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2015 Mitsubishi Outlander 2WD,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/mitsubishi/outlander/28054725,,,,Hornby,,6,"Low mileage (89.5k km), zero prior owners; Long WOF validity (to mid-2027); No auction price data yet to assess value","Imported 2015 Outlander with excellent service history and low km, but lacks pricing/condition details and import history transparency limits confidence.",45000,,18000,,,high,"Popular 7-seater family SUV, strong secondhand demand in NZ.",https://www.trademe.co.nz/a/search?search_string=2015%20Mitsubishi%20Outlander%202WD,https://www.facebook.com/marketplace/search/?query=2015%20Mitsubishi%20Outlander%202WD,https://www.ebay.com.au/sch/i.html?_nkw=2015%20Mitsubishi%20Outlander%202WD&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2021 Nissan Note,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/nissan/note/28141538,,,,Wairakei Rd,,6,"Fresh Japanese import, first NZ owner; No pricing visible to assess value; Condition/mileage not specified in snippet",2021 Note is newer-generation practical hatchback with full compliance and service; value hinges entirely on missing price/mileage data.,28000,,18000,,,high,"Nissan Note is reliable, fuel-efficient, popular in NZ secondhand market.",https://www.trademe.co.nz/a/search?search_string=2021%20Nissan%20Note,https://www.facebook.com/marketplace/search/?query=2021%20Nissan%20Note,https://www.ebay.com.au/sch/i.html?_nkw=2021%20Nissan%20Note&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,DJI - Mavic 2 Enterprise Dual Drone Package,https://www.turners.co.nz/General-Goods/Search/electronics/video-cameras--equipment/28452245,102.0,,Tidy,Christchurch,,9,Exceptional price for Mavic 2 Enterprise; Complete package with multiple batteries and accessories; Powered-on testing confirms basic functionality,"At $102 for a Mavic 2 Enterprise dual package with batteries, controller, and charging gear, this is an extraordinary bargain—likely 90%+ below retail value.",7500,99,3000,2898,2841,high,Enterprise drones have strong commercial/government demand in NZ.,https://www.trademe.co.nz/a/search?search_string=DJI%20-%20Mavic%202%20Enterprise%20Dual%20Drone%20Package,https://www.facebook.com/marketplace/search/?query=DJI%20-%20Mavic%202%20Enterprise%20Dual%20Drone%20Package,https://www.ebay.com.au/sch/i.html?_nkw=DJI%20-%20Mavic%202%20Enterprise%20Dual%20Drone%20Package&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 13 Sep 26
Electronics & Tech,Turners,Real price + condition,DJI - Mavic 3 Enterprise Drone Package,https://www.turners.co.nz/General-Goods/Search/electronics/video-cameras--equipment/28452307,1261.0,,Tidy,Christchurch,,8,Mavic 3 Enterprise with RTK module included; Four batteries and Pro controller in bundle; Good value below typical retail pricing,"At $1,261 for a Mavic 3 Enterprise with RTK module, four batteries, and Pro controller, this offers solid value—approximately 75–80% below new retail.",8500,85,4500,3239,257,high,Enterprise drones have strong commercial/government demand in NZ.,https://www.trademe.co.nz/a/search?search_string=DJI%20-%20Mavic%203%20Enterprise%20Drone%20Package,https://www.facebook.com/marketplace/search/?query=DJI%20-%20Mavic%203%20Enterprise%20Drone%20Package,https://www.ebay.com.au/sch/i.html?_nkw=DJI%20-%20Mavic%203%20Enterprise%20Drone%20Package&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 13 Sep 26
