category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Automotive Parts,Turners,Real price + condition,Vision Keyless Entry System,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25310066,2.0,,Very Tidy,Napier,,9,Unused stock-room condition; Extremely low opening bid; Security/access control demand,Unopened stock item at NZ$2 opening bid represents exceptional value for functional keyless entry hardware typically retailing $80–150.,120,98,75,73,3650,high,Keyless systems consistently sought for residential/commercial upgrades.,https://www.trademe.co.nz/a/search?search_string=Vision%20Keyless%20Entry%20System,https://www.facebook.com/marketplace/search/?query=Vision%20Keyless%20Entry%20System,https://www.ebay.com.au/sch/i.html?_nkw=Vision%20Keyless%20Entry%20System&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 24 Aug 26
Automotive Parts,Turners,Real price + condition,Vision Truck Alarm System,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25310078,1.0,,Very Tidy,Napier,,9,"Unused stock condition at $1 opening; Untested but sealed/original packaging; Specialist security equipment, likely $200–400 retail","Opening bid of $1 for unused, sealed stock alarm system from corporate liquidation represents exceptional value if it functions.",300,100,180,179,17900,medium,Niche truck alarm market; conditional on successful testing post-purchase.,https://www.trademe.co.nz/a/search?search_string=Vision%20Truck%20Alarm%20System,https://www.facebook.com/marketplace/search/?query=Vision%20Truck%20Alarm%20System,https://www.ebay.com.au/sch/i.html?_nkw=Vision%20Truck%20Alarm%20System&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 24 Aug 26
,,,,,,,,,,,,,,,,,,,,,,,
Electronics & Tech,Turners,Real price + condition,Brateck Projector Ceiling Mount,https://www.turners.co.nz/General-Goods/Search/electronics/projectors/25310468,1.0,,As New,Napier,,9,"Starting bid only $1.00; Projector mounts typically $40–80 NZD; As-new condition, minimal risk",Exceptional value: a $1 opening bid on an as-new ceiling mount with zero competition risk makes this a steal regardless of untested status.,60,98,35,34,3400,high,"Projector ceiling mounts are common, practical, and in steady demand.",https://www.trademe.co.nz/a/search?search_string=Brateck%20Projector%20Ceiling%20Mount,https://www.facebook.com/marketplace/search/?query=Brateck%20Projector%20Ceiling%20Mount,https://www.ebay.com.au/sch/i.html?_nkw=Brateck%20Projector%20Ceiling%20Mount&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: Reserve Met; Closes 23 Aug 26
Electronics & Tech,Turners,Real price + condition,"Acer 24"" Monitor",https://www.turners.co.nz/General-Goods/Search/electronics/television/25310622,1.0,,Unknown,Napier,,2,"Untested, unknown condition; No cables included; Incomplete information risky","At $1 opening price, this looks like a bargain trap—untested monitors with unknown condition and no cables are typically unsellable dead stock or damaged goods that couldn't be properly assessed.",250,100,,,,low,Cannot assess functionality; untested monitors are difficult to resell without testing proof.,https://www.trademe.co.nz/a/search?search_string=Acer%2024%22%20Monitor,https://www.facebook.com/marketplace/search/?query=Acer%2024%22%20Monitor,https://www.ebay.com.au/sch/i.html?_nkw=Acer%2024%22%20Monitor&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes 24 Aug 26
,,,,,,,,,,,,,,,,,,,,,,,
Health & Beauty,Turners,Real price + condition,Anjieya Earloop Face Masks,https://www.turners.co.nz/General-Goods/Search/health--beauty/other/21367605,1.0,,Excellent,Christchurch,,1,Expired April 2023 (1.5+ years old); No protective value when expired; Bulk stock difficult to move,Expired masks have zero functional value; buyers won't pay even nominal sums for unusable safety equipment regardless of price.,240,100,,,,low,Expired masks unsellable; liability and no demand.,https://www.trademe.co.nz/a/search?search_string=Anjieya%20Earloop%20Face%20Masks,https://www.facebook.com/marketplace/search/?query=Anjieya%20Earloop%20Face%20Masks,https://www.ebay.com.au/sch/i.html?_nkw=Anjieya%20Earloop%20Face%20Masks&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 23 Aug 26
Health & Beauty,Turners,Real price + condition,Anjieya Earloop Face Masks,https://www.turners.co.nz/General-Goods/Search/health--beauty/other/21217615,1.0,,Excellent,Christchurch,,1,Expired April 2023 (1.5+ years old); No protective value when expired; Bulk stock difficult to move,Expired masks have zero functional value; buyers won't pay even nominal sums for unusable safety equipment regardless of price.,240,100,,,,low,Expired masks unsellable; liability and no demand.,https://www.trademe.co.nz/a/search?search_string=Anjieya%20Earloop%20Face%20Masks,https://www.facebook.com/marketplace/search/?query=Anjieya%20Earloop%20Face%20Masks,https://www.ebay.com.au/sch/i.html?_nkw=Anjieya%20Earloop%20Face%20Masks&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 23 Aug 26
Health & Beauty,Turners,Real price + condition,Anjieya Earloop Face Masks,https://www.turners.co.nz/General-Goods/Search/health--beauty/other/21367596,1.0,,Excellent,Christchurch,,1,Expired April 2023 (1.5+ years old); No protective value when expired; Bulk stock difficult to move,Expired masks have zero functional value; buyers won't pay even nominal sums for unusable safety equipment regardless of price.,240,100,,,,low,Expired masks unsellable; liability and no demand.,https://www.trademe.co.nz/a/search?search_string=Anjieya%20Earloop%20Face%20Masks,https://www.facebook.com/marketplace/search/?query=Anjieya%20Earloop%20Face%20Masks,https://www.ebay.com.au/sch/i.html?_nkw=Anjieya%20Earloop%20Face%20Masks&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: No Reserve; Closes 23 Aug 26
,,,,,,,,,,,,,,,,,,,,,,,
