category,source,data_basis,title,url,price_nzd,buy_now_price_nzd,condition,location,auction_status,score,reasons,explanation,estimated_new_price_nzd,value_vs_new_pct,suggested_resale_price_nzd,potential_profit_nzd,potential_profit_pct,resale_likelihood,resale_reason,trademe_search_url,facebook_search_url,ebay_search_url,notes
Antiques & Collectables,Thorntons,Listing language only (no price data),Auction #2 - Collectables & Interiors  26.8.26 FRI133177,https://www.thorntons.net.nz/auctions/detail/bw133177,,,,,,4,,"Title mentions collectables and interiors but blurb provides no condition, lot count, or liquidation signals to assess quality.",,,,,,medium,Collectables and interiors typically have steady demand.,https://www.trademe.co.nz/a/search?search_string=collectable,https://www.facebook.com/marketplace/search/?query=collectable,https://www.ebay.com.au/sch/i.html?_nkw=collectable&LH_Sold=1&LH_Complete=1&_sop=13,Caution: minimal description provided; no lot count stated; no condition detail
Antiques & Collectables,Turners,Real price + condition,2 x drums with cardboard cores,https://www.turners.co.nz/General-Goods/Search/crafts/other/24937937,1.0,,Average,Lower Hutt,,3,Untested condition uncertain; Cardboard cores deteriorate over time; Niche/hobby appeal only,Bulk cardboard drum cores at $1 are cheap but resale value is minimal due to untested condition and limited buyer demand for used cores.,,,2,1,100,low,Very niche market; most buyers prefer new or tested drums.,https://www.trademe.co.nz/a/search?search_string=2%20x%20drums%20with%20cardboard%20cores,https://www.facebook.com/marketplace/search/?query=2%20x%20drums%20with%20cardboard%20cores,https://www.ebay.com.au/sch/i.html?_nkw=2%20x%20drums%20with%20cardboard%20cores&LH_Sold=1&LH_Complete=1&_sop=13,No comparable item found this run -- standalone assessment only; Reserve: No Reserve; Closes unknown
,,,,,,,,,,,,,,,,,,,,,,,
Automotive Parts,Turners,Real price + condition,Vision Keyless Entry System,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25310050,1.0,,Very Tidy,Napier,,10,"Unused stock condition, minimal risk; Keyless entry systems typically retail $80–150+; Auction price under $1 is unbeatable",Identical to peer item but $1 cheaper; unused commercial stock at under $1 is exceptional value even accounting for typical retail of $100–150.,120,99,70,69,6900,high,"Keyless entry systems are common, practical, in-demand for residential/commercial use.",https://www.trademe.co.nz/a/search?search_string=Vision%20Keyless%20Entry%20System,https://www.facebook.com/marketplace/search/?query=Vision%20Keyless%20Entry%20System,https://www.ebay.com.au/sch/i.html?_nkw=Vision%20Keyless%20Entry%20System&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 23 Aug 26
Automotive Parts,Turners,Real price + condition,Vision Remote Immobiliser Vehicle Security System,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25310021,1.0,,Very Tidy,Napier,,9,"Minimal opening bid ($1 NZD); Unused, very tidy condition; Vehicle security systems typically retail $300-800",Exceptional value at $1 opening bid for unused security system from corporate stockroom; untested status is only minor caveat.,500,100,250,249,24900,medium,Niche aftermarket security item; specific model awareness needed.,https://www.trademe.co.nz/a/search?search_string=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System,https://www.facebook.com/marketplace/search/?query=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System,https://www.ebay.com.au/sch/i.html?_nkw=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 23 Aug 26
Automotive Parts,Turners,Real price + condition,Vision Remote Immobiliser Vehicle Security System,https://www.turners.co.nz/General-Goods/Search/automotive-goods/other/25310032,2.0,,Very Tidy,Napier,,9,"Minimal opening bid ($2 NZD); Unused, very tidy condition; Vehicle security systems typically retail $300-800",Nearly identical value to first item at $2 opening; $1 difference negligible against potential $250+ resale.,500,100,250,248,12400,medium,Niche aftermarket security item; specific model awareness needed.,https://www.trademe.co.nz/a/search?search_string=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System,https://www.facebook.com/marketplace/search/?query=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System,https://www.ebay.com.au/sch/i.html?_nkw=Vision%20Remote%20Immobiliser%20Vehicle%20Security%20System&LH_Sold=1&LH_Complete=1&_sop=13,Reserve: Reserve Met; Closes 23 Aug 26
,,,,,,,,,,,,,,,,,,,,,,,
Cars,Turners,Real price + condition,2016 Subaru Forester I 4WD,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/subaru/forester/28299789,,,,Avalon Drive,,6,NZ-new with single owner history; WOF/rego valid through mid-2026/2027; 147k km is moderate mileage for age,"No current price shown, so value unclear; NZ-new status and ownership history are solid but mileage and age limit appeal.",32000,,18000,,,high,"Popular Subaru model, strong secondhand demand in NZ.",https://www.trademe.co.nz/a/search?search_string=2016%20Subaru%20Forester%20I%204WD,https://www.facebook.com/marketplace/search/?query=2016%20Subaru%20Forester%20I%204WD,https://www.ebay.com.au/sch/i.html?_nkw=2016%20Subaru%20Forester%20I%204WD&LH_Sold=1&LH_Complete=1&_sop=13,
Cars,Turners,Real price + condition,2016 Subaru Outback,https://www.turners.co.nz/Cars/Used-Cars-for-Sale/subaru/outback/27978474,,,,Hornby,,5,"Fresh import, first NZ owner; Japan import sourced by Turners; No mileage or detailed condition stated","Import status is neutral (not better condition); lack of mileage, WOF, and detailed specs makes value assessment impossible.",32000,,17000,,,high,"Outback is reliable, sought-after for outdoor/family use.",https://www.trademe.co.nz/a/search?search_string=2016%20Subaru%20Outback,https://www.facebook.com/marketplace/search/?query=2016%20Subaru%20Outback,https://www.ebay.com.au/sch/i.html?_nkw=2016%20Subaru%20Outback&LH_Sold=1&LH_Complete=1&_sop=13,
,,,,,,,,,,,,,,,,,,,,,,,
